Number of devices,Interaction,Signals,Success rate
1,90.0,314.0,100.0
2,135.0,471.0,100.0
3,183.88,627.24,96.74580212000001
4,1040.23,1753.65,26.977634709999993
5,2359.58,3224.38,16.407773679999995
6,4112.05,4857.57,11.646004930000004
7,5966.86,6283.18,9.088857919999995
8,8473.21,8040.41,7.300587730000002
9,10859.14,9257.9,4.92661104
10,13561.64,10712.37,4.34671413
11,17196.66,12642.78,3.8215315000000016
12,20869.42,14376.7,3.5578881800000017
13,24729.12,16025.78,3.30268647
14,29036.39,17791.3,3.161090230000001
15,33704.86,19568.46,2.97933532
16,39216.67,21586.34,2.72081088
17,45233.74,23730.8,2.5892018500000002
18,51093.7,25622.65,2.477454050000001
19,57188.46,27495.3,2.4293045399999995
