defaultGU,Interaction,Signals,Success rate
5,105144.9,419368.56,66.58843551999996
10,53944.92,214568.64,66.58673483999995
25,23224.97,91688.86,66.58333347999995
50,12985.0,50728.96,66.57993211999994
100,7865.16,30249.6,66.56632667999996
200,5305.36,20010.38,66.54846952999998
500,3711.18,13515.44,66.46938789
1000,2993.56,10230.8,66.34523822999996
2000,2486.54,7700.7,66.34608855999996
4000,2230.6,6421.0,66.34353755999997
7000,2121.98,5877.9,66.36479604999998
10000,2077.72,5656.6,66.38095251000003
20000,2030.56,5420.8,66.17517009000002
40000,2010.4,5320.0,65.92687077000002
50000,2010.46,5320.3,65.75425172000001
